sample	mouse	cage	day	location	infected	treatment
3-1-D-C	D1	A	3	colon	TRUE	DSS
3-1-D-CC	D1	A	3	colcon	TRUE	DSS
3-1-D-K	D1	A	3	cecum	TRUE	DSS
3-1-D-KK	D1	A	3	ceccon	TRUE	DSS
3-1-P-C	P1	B	3	colon	TRUE	POSCTRL
3-1-P-CC	P1	B	3	colcon	TRUE	POSCTRL
3-1-P-K	P1	B	3	cecum	TRUE	POSCTRL
3-1-P-KK	P1	B	3	ceccon	TRUE	POSCTRL
3-1-VH-C	VH1	C	3	colon	TRUE	VancHi
3-1-VH-CC	VH1	C	3	colcon	TRUE	VancHi
3-1-VH-K	VH1	C	3	cecum	TRUE	VancHi
3-1-VH-KK	VH1	C	3	ceccon	TRUE	VancHi
3-1-VL-C	VL1	D	3	colon	TRUE	VancLo
3-1-VL-CC	VL1	D	3	colcon	TRUE	VancLo
3-1-VL-K	VL1	D	3	cecum	TRUE	VancLo
3-1-VL-KK	VL1	D	3	ceccon	TRUE	VancLo
3-2-D-C	D2	A	3	colon	TRUE	DSS
3-2-D-CC	D2	A	3	colcon	TRUE	DSS
3-2-D-K	D2	A	3	cecum	TRUE	DSS
3-2-D-KK	D2	A	3	ceccon	TRUE	DSS
3-2-VH-C	VH2	C	3	colon	TRUE	VancHi
3-2-VH-CC	VH2	C	3	colcon	TRUE	VancHi
3-2-VH-K	VH2	C	3	cecum	TRUE	VancHi
3-2-VH-KK	VH2	C	3	ceccon	TRUE	VancHi
3-2-VL-C	VL2	D	3	colon	TRUE	VancLo
3-2-VL-CC	VL2	D	3	colcon	TRUE	VancLo
3-2-VL-K	VL2	D	3	cecum	TRUE	VancLo
3-2-VL-KK	VL2	D	3	ceccon	TRUE	VancLo
9-1-D-C	D3	E	9	colon	TRUE	DSS
9-1-D-CC	D3	E	9	colcon	TRUE	DSS
9-1-D-K	D3	E	9	cecum	TRUE	DSS
9-1-D-KK	D3	E	9	ceccon	TRUE	DSS
9-1-N-C	N1	F	9	colon	FALSE	NEGCTRL
9-1-N-CC	N1	F	9	colcon	FALSE	NEGCTRL
9-1-N-K	N1	F	9	cecum	FALSE	NEGCTRL
9-1-N-KK	N1	F	9	ceccon	FALSE	NEGCTRL
9-1-VH-C	VH3	G	9	colon	TRUE	VancHi
9-1-VH-CC	VH3	G	9	colcon	TRUE	VancHi
9-1-VH-K	VH3	G	9	cecum	TRUE	VancHi
9-1-VH-KK	VH3	G	9	ceccon	TRUE	VancHi
9-1-VL-C	VL3	H	9	colon	TRUE	VancLo
9-1-VL-CC	VL3	H	9	colcon	TRUE	VancLo
9-1-VL-K	VL3	H	9	cecum	TRUE	VancLo
9-1-VL-KK	VL3	H	9	ceccon	TRUE	VancLo
9-2-D-C	D4	E	9	colon	TRUE	DSS
9-2-D-CC	D4	E	9	colcon	TRUE	DSS
9-2-D-K	D4	E	9	cecum	TRUE	DSS
9-2-D-KK	D4	E	9	ceccon	TRUE	DSS
9-2-N-C	N2	F	9	colon	FALSE	NEGCTRL
9-2-N-CC	N2	F	9	colcon	FALSE	NEGCTRL
9-2-N-K	N2	F	9	cecum	FALSE	NEGCTRL
9-2-N-KK	N2	F	9	ceccon	FALSE	NEGCTRL
9-2-P-C	P2	B	9	colon	TRUE	POSCTRL
9-2-P-CC	P2	B	9	colcon	TRUE	POSCTRL
9-2-P-K	P2	B	9	cecum	TRUE	POSCTRL
9-2-P-KK	P2	B	9	ceccon	TRUE	POSCTRL
9-2-VH-C	VH4	G	9	colon	TRUE	VancHi
9-2-VH-CC	VH4	G	9	colcon	TRUE	VancHi
9-2-VH-K	VH4	G	9	cecum	TRUE	VancHi
9-2-VH-KK	VH4	G	9	ceccon	TRUE	VancHi
9-2-VL-C	VL4	H	9	colon	TRUE	VancLo
9-2-VL-CC	VL4	H	9	colcon	TRUE	VancLo
9-2-VL-K	VL4	H	9	cecum	TRUE	VancLo
9-2-VL-KK	VL4	H	9	ceccon	TRUE	VancLo
9-3-D-C	D5	E	9	colon	TRUE	DSS
9-3-D-CC	D5	E	9	colcon	TRUE	DSS
9-3-D-K	D5	E	9	cecum	TRUE	DSS
9-3-D-KK	D5	E	9	ceccon	TRUE	DSS
9-3-P-C	P3	B	9	colon	TRUE	POSCTRL
9-3-P-CC	P3	B	9	colcon	TRUE	POSCTRL
9-3-P-K	P3	B	9	cecum	TRUE	POSCTRL
9-3-P-KK	P3	B	9	ceccon	TRUE	POSCTRL
9-3-VH-C	VH5	G	9	colon	TRUE	VancHi
9-3-VH-CC	VH5	G	9	colcon	TRUE	VancHi
9-3-VH-K	VH5	G	9	cecum	TRUE	VancHi
9-3-VH-KK	VH5	G	9	ceccon	TRUE	VancHi
9-3-VL-C	VL5	H	9	colon	TRUE	VancLo
9-3-VL-CC	VL5	H	9	colcon	TRUE	VancLo
9-3-VL-K	VL5	H	9	cecum	TRUE	VancLo
9-3-VL-KK	VL5	H	9	ceccon	TRUE	VancLo
