sampleID	mouse	cage	day	location	experiment	infected	treatment
1-t0-poop	1	A	0	poop	1	FALSE	N/A
1-t24-poop	1	A	24	poop	1	FALSE	N/A
1-t3-poop	1	A	3	poop	1	FALSE	N/A
1-t48-cecon	1	A	48	cecon	1	FALSE	N/A
1-t48-cecum	1	A	48	cecum	1	FALSE	N/A
1-t48-colcon	1	A	48	colcon	1	FALSE	N/A
1-t48-colon	1	A	48	colon	1	FALSE	N/A
2-t0-poop	2	A	0	poop	1	FALSE	N/A
2-t24-poop	2	A	24	poop	1	FALSE	N/A
2-t3-poop	2	A	3	poop	1	FALSE	N/A
2-t48-cecon	2	A	48	cecon	1	FALSE	N/A
2-t48-colcon	2	A	48	colcon	1	FALSE	N/A
3-t0-poop	3	A	0	poop	1	FALSE	N/A
3-t24-poop	3	A	24	poop	1	FALSE	N/A
3-t3-poop	3	A	3	poop	1	FALSE	N/A
3-t48-cecon	3	A	48	cecon	1	FALSE	N/A
3-t48-cecum	3	A	48	cecum	1	FALSE	N/A
3-t48-colcon	3	A	48	colcon	1	FALSE	N/A
3-t48-colon	3	A	48	colon	1	FALSE	N/A
4-t0-poop	4	A	0	poop	1	FALSE	N/A
4-t24-poop	4	A	24	poop	1	FALSE	N/A
4-t3-poop	4	A	3	poop	1	FALSE	N/A
4-t48-cecon	4	A	48	cecon	1	FALSE	N/A
4-t48-cecum	4	A	48	cecum	1	FALSE	N/A
4-t48-colcon	4	A	48	colcon	1	FALSE	N/A
4-t48-colon	4	A	48	colon	1	TRUE	N/A
5-t0-poop	5	B	0	poop	1	TRUE	N/A
5-t24-poop	5	B	24	poop	1	TRUE	N/A
5-t3-poop	5	B	3	poop	1	TRUE	N/A
5-t48-cecon	5	B	48	cecon	1	TRUE	N/A
5-t48-cecum	5	B	48	cecum	1	TRUE	N/A
5-t48-colcon	5	B	48	colcon	1	TRUE	N/A
6-t0-poop	6	B	0	poop	1	TRUE	N/A
6-t24-poop	6	B	24	poop	1	TRUE	N/A
6-t3-poop	6	B	3	poop	1	TRUE	N/A
6-t48-cecon	6	B	48	cecon	1	TRUE	N/A
6-t48-cecum	6	B	48	cecum	1	TRUE	N/A
6-t48-colcon	6	B	48	colcon	1	TRUE	N/A
7-t0-poop	7	B	0	poop	1	TRUE	N/A
7-t24-poop	7	B	24	poop	1	TRUE	N/A
7-t3-poop	7	B	3	poop	1	TRUE	N/A
7-t48-cecon	7	B	48	cecon	1	TRUE	N/A
7-t48-cecum1	7	B	48	cecum1	1	TRUE	N/A
7-t48-colcon	7	B	48	colcon	1	TRUE	N/A
